source_url,link_url,link_title
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),"""Lilies of the Field (1963 film) - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/1939_Boston_Red_Sox_season,"""1939 Boston Red Sox season - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,"""Golden Globe Award for Best Supporting Actress – Motion Picture - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film)#References,"""Lilies of the Field (1963 film) - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Lawrence_of_Arabia_(film),"""Lawrence of Arabia (film) - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/The_Prize_(1963_film),"""The Prize (1963 film) - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Twelve_O%27Clock_High,"""Twelve O'Clock High - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Heinrich_Wilhelm_Matthias_Olbers,"""Heinrich Wilhelm Matthias Olbers - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/16th_Directors_Guild_of_America_Awards,"""16th Directors Guild of America Awards - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/1917_World_Series,"""1917 World Series - Wikipedia"""
https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,https://en.wikipedia.org/wiki/Wikipedia:Contact_us,"""Wikipedia:Contact us - Wikipedia"""
https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,https://en.wikipedia.org/wiki/La_Strada,"""La Strada - Wikipedia"""
https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,https://en.wikipedia.org/wiki/Free_content,"""Free content - Wikipedia"""
https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,https://en.wikipedia.org/wiki/Don_Buford,"""Don Buford - Wikipedia"""
https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film)#cite_note-14,"""Lilies of the Field (1963 film) - Wikipedia"""
https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,https://en.wikipedia.org/wiki/Two_Women,"""Two Women - Wikipedia"""
https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,https://en.wikipedia.org/wiki/Roman_Polanski,"""Roman Polanski - Wikipedia"""
https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture#cite_note-28,"""Academy Award for Best Picture - Wikipedia"""
https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,https://en.wikipedia.org/wiki/Template_talk:Blue_Ribbon_Award_for_Best_Foreign_Film,"""Template talk:Blue Ribbon Award for Best Foreign Film - Wikipedia"""
https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,https://en.wikipedia.org/wiki/1975_Chicago_White_Sox_season,"""1975 Chicago White Sox season - Wikipedia"""
https://en.wikipedia.org/wiki/Field_of_Dreams,https://en.wikipedia.org/wiki/Metacritic,"""Metacritic - Wikipedia"""
https://en.wikipedia.org/wiki/Field_of_Dreams,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Cinematography,"""Academy Award for Best Cinematography - Wikipedia"""
https://en.wikipedia.org/wiki/Field_of_Dreams,https://en.wikipedia.org/wiki/Hidden_Figures,"""Hidden Figures - Wikipedia"""
https://en.wikipedia.org/wiki/Field_of_Dreams,https://en.wikipedia.org/wiki/The_Ghost_Ship,"""The Ghost Ship - Wikipedia"""
https://en.wikipedia.org/wiki/Field_of_Dreams,https://en.wikipedia.org/wiki/1964_in_film,"""1964 in film - Wikipedia"""
https://en.wikipedia.org/wiki/Field_of_Dreams,https://en.wikipedia.org/wiki/Requiem_for_a_Heavyweight_(film),"""Requiem for a Heavyweight (film) - Wikipedia"""
https://en.wikipedia.org/wiki/Field_of_Dreams,https://en.wikipedia.org/wiki/Ventricular_fibrillation,"""Ventricular fibrillation - Wikipedia"""
https://en.wikipedia.org/wiki/Field_of_Dreams,https://en.wikipedia.org/wiki/Post-Impressionism,"""Post-Impressionism - Wikipedia"""
https://en.wikipedia.org/wiki/Field_of_Dreams,https://en.wikipedia.org/wiki/List_of_municipalities_in_New_Brunswick,"""List of municipalities in New Brunswick - Wikipedia"""
https://en.wikipedia.org/wiki/Field_of_Dreams,https://en.wikipedia.org/wiki/List_of_films_with_all_four_Academy_Award_acting_nominations,"""List of films with all four Academy Award acting nominations - Wikipedia"""
https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),https://en.wikipedia.org/wiki/Denzel_Washington,"""Denzel Washington - Wikipedia"""
https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),https://en.wikipedia.org/wiki/Field_of_Dreams,"""Field of Dreams - Wikipedia"""
https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),https://en.wikipedia.org/wiki/1959_in_film,"""1959 in film - Wikipedia"""
https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),https://en.wikipedia.org/wiki/List_of_actors_with_Academy_Award_nominations,"""List of actors with Academy Award nominations - Wikipedia"""
https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),https://en.wikipedia.org/wiki/1960_Boston_Red_Sox_season,"""1960 Boston Red Sox season - Wikipedia"""
https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),https://en.wikipedia.org/wiki/Walter_Wanger_Productions,"""Walter Wanger - Wikipedia"""
https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),https://en.wikipedia.org/wiki/AFI%27s_100_Years...100_Movie_Quotes,"""AFI's 100 Years...100 Movie Quotes - Wikipedia"""
https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"""Academy Award for Best Picture - Wikipedia"""
https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),https://en.wikipedia.org/w/index.php?title=Lilies_of_the_Field_(1963_film)&action=edit&section=10,"""Editing Lilies of the Field (1963 film) (section) - Wikipedia"""
https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),https://en.wikipedia.org/wiki/Special:SpecialPages,"""Special pages - Wikipedia"""
https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,https://en.wikipedia.org/wiki/Wikipedia:The_rules_are_principles,"""Wikipedia:The rules are principles - Wikipedia"""
https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,https://en.wikipedia.org/wiki/Special:Contributions/103.58.154.249,"""User contributions for 103.58.154.249 - Wikipedia"""
https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,https://en.wikipedia.org/wiki/Special:WhatLinksHere/Main_Page,"""Pages that link to ""Main Page"" - Wikipedia"""
https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,https://en.wikipedia.org/wiki/March_27,"""March 27 - Wikipedia"""
https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,https://en.wikipedia.org/wiki/Help:Link,"""Help:Link - Wikipedia"""
https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,https://en.wikipedia.org/wiki/Wikipedia:Task_Center,"""Wikipedia:Task Center - Wikipedia"""
https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,https://en.wikipedia.org/wiki/Academy_Awards,"""Academy Awards - Wikipedia"""
https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,https://en.wikipedia.org/wiki/Golden_Globe_Awards_1987,"""45th Golden Globe Awards - Wikipedia"""
https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen#mw-head,"""Download as PDF - Wikipedia"""
https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Supporting_Actress_%E2%80%93_Motion_Picture,https://en.wikipedia.org/wiki/Help:List,"""Help:List - Wikipedia"""
https://en.wikipedia.org/wiki/The_Prize_(1963_film),https://en.wikipedia.org/wiki/Wikipedia:About,"""Wikipedia:About - Wikipedia"""
https://en.wikipedia.org/wiki/The_Prize_(1963_film),https://en.wikipedia.org/wiki/Wikipedia:Learning_the_ropes,"""Wikipedia:Learning the ropes - Wikipedia"""
https://en.wikipedia.org/wiki/The_Prize_(1963_film),https://en.wikipedia.org/wiki/Wikipedia:IRC,"""Wikipedia:IRC - Wikipedia"""
https://en.wikipedia.org/wiki/The_Prize_(1963_film),https://en.wikipedia.org/wiki/Wikipedia:Dos_and_don%27ts,"""Wikipedia:Dos and don'ts - Wikipedia"""
https://en.wikipedia.org/wiki/The_Prize_(1963_film),https://en.wikipedia.org/wiki/Help:HTML_in_wikitext,"""Help:HTML in wikitext - Wikipedia"""
https://en.wikipedia.org/wiki/The_Prize_(1963_film),https://en.wikipedia.org/wiki/The_Bad_and_the_Beautiful,"""The Bad and the Beautiful - Wikipedia"""
https://en.wikipedia.org/wiki/The_Prize_(1963_film),https://en.wikipedia.org/wiki/Phffft,"""Phffft - Wikipedia"""
https://en.wikipedia.org/wiki/The_Prize_(1963_film),https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,"""Download as PDF - Wikipedia"""
https://en.wikipedia.org/wiki/The_Prize_(1963_film),https://en.wikipedia.org/wiki/Help:Menu/Joining_Wikipedia,"""Help:Menu/Joining Wikipedia - Wikipedia"""
https://en.wikipedia.org/wiki/The_Prize_(1963_film),https://en.wikipedia.org/wiki/Wikipedia:Expectations_and_norms_of_the_Wikipedia_community,"""Wikipedia:Expectations and norms of the Wikipedia community - Wikipedia"""
https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,https://en.wikipedia.org/wiki/Wikipedia:A_primer_for_newcomers,"""Wikipedia:A primer for newcomers - Wikipedia"""
https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,https://en.wikipedia.org/wiki/Help:Wikilinks,"""Help:Link - Wikipedia"""
https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,https://en.wikipedia.org/wiki/Anne_Hathaway,"""Anne Hathaway - Wikipedia"""
https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,"""Help:Introduction to editing with Wiki Markup/6 - Wikipedia"""
https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,https://en.wikipedia.org/wiki/Variety_Film_Reviews,"""Variety Film Reviews - Wikipedia"""
https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,https://en.wikipedia.org/wiki/Help_talk:Contents,"""Help talk:Contents - Wikipedia"""
https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,https://en.wikipedia.org/wiki/Special:WhatLinksHere/Help:Contents,"""Pages that link to ""Help:Contents"" - Wikipedia"""
https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,https://en.wikipedia.org/wiki/Help:Introduction_to_referencing_with_VisualEditor/1,"""Help:Introduction to referencing with VisualEditor/1 - Wikipedia"""
https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,https://en.wikipedia.org/wiki/Main_Page,"""Wikipedia, the free encyclopedia"""
https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=The_Prize_%281963_film%29&action=show-download-screen,https://en.wikipedia.org/wiki/Special:WhatLinksHere/The_Prize_(1963_film),"""Pages that link to ""The Prize (1963 film)"" - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Contents,https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#semi,"""Wikipedia:Protection policy - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Contents,https://en.wikipedia.org/wiki/Special:RecentChanges,"""Recent changes - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Contents,https://en.wikipedia.org/wiki/Special:MyTalk,"""User talk:68.36.28.234 - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Contents,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_New_Star_of_the_Year_%E2%80%93_Actor,"""Golden Globe Award for New Star of the Year – Actor - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Contents,https://en.wikipedia.org/wiki/Cloris_Leachman,"""Cloris Leachman - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Contents,https://en.wikipedia.org/wiki/Independent_Spirit_Award_for_Best_Supporting_Female,"""Independent Spirit Award for Best Supporting Female - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Contents,https://en.wikipedia.org/w/index.php?title=Special:MyPage/Sample_page&action=edit&preload=Help:Introduction/main_sandbox_preload&summary=Creating%20sandbox&editintro=Help:Introduction/main_sandbox_preload/editintro,"""View source for User:68.36.28.234/Sample page - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Contents,https://en.wikipedia.org/wiki/Help:Introduction,"""Help:Introduction - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Contents,https://en.wikipedia.org/wiki/Help:Cheatsheet,"""Help:Cheatsheet - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Contents,https://en.wikipedia.org/w/index.php?title=Help:Introduction_to_editing_with_Wiki_Markup/6&action=info,"""Information for ""Help:Introduction to editing with Wiki Markup/6"" - Wikipedia"""
https://en.wikipedia.org/wiki/Help_talk:Contents,https://en.wikipedia.org/wiki/Wikipedia:Community_portal,"""Wikipedia:Community portal - Wikipedia"""
https://en.wikipedia.org/wiki/Help_talk:Contents,https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup,"""Help:Introduction to editing with Wiki Markup/1 - Wikipedia"""
https://en.wikipedia.org/wiki/Help_talk:Contents,https://en.wikipedia.org/wiki/Help:Introduction_to_tables_with_Wiki_Markup/1,"""Help:Introduction to tables with Wiki Markup/1 - Wikipedia"""
https://en.wikipedia.org/wiki/Help_talk:Contents,https://en.wikipedia.org/wiki/Help:Other_languages,"""Help:Other languages - Wikipedia"""
https://en.wikipedia.org/wiki/Help_talk:Contents,https://en.wikipedia.org/wiki/Wikipedia:Contents,"""Wikipedia:Contents - Wikipedia"""
https://en.wikipedia.org/wiki/Help_talk:Contents,https://en.wikipedia.org/wiki/Working_Girl,"""Working Girl - Wikipedia"""
https://en.wikipedia.org/wiki/Help_talk:Contents,https://en.wikipedia.org/wiki/Help:Contents,"""Help:Contents - Wikipedia"""
https://en.wikipedia.org/wiki/Help_talk:Contents,https://en.wikipedia.org/wiki/Spy_film,"""Spy film - Wikipedia"""
https://en.wikipedia.org/wiki/Help_talk:Contents,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,"""Wikipedia:Text of Creative Commons Attribution-ShareAlike 3.0 Unported License - Wikipedia"""
https://en.wikipedia.org/wiki/Help_talk:Contents,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Documentary_Film,"""Golden Globe Award for Best Documentary Film - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,https://en.wikipedia.org/wiki/Help:Contents#edit-heading,"""Help:Contents - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Resource_Exchange/Resource_Request,"""Wikipedia:WikiProject Resource Exchange/Resource Request - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,https://en.wikipedia.org/wiki/Wikipedia:Policies_and_guidelines,"""Wikipedia:Policies and guidelines - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,https://en.wikipedia.org/wiki/Template:Blue_Ribbon_Award_for_Best_Foreign_Film,"""Template:Blue Ribbon Award for Best Foreign Film - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,https://en.wikipedia.org/wiki/Wikipedia:No_original_research,"""Wikipedia:No original research - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,https://en.wikipedia.org/wiki/Help:Introduction_to_navigating_Wikipedia/1,"""Help:Introduction to navigating Wikipedia/1 - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,https://en.wikipedia.org/wiki/Kathy_Bates,"""Kathy Bates - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,https://en.wikipedia.org/w/index.php?title=The_Prize_(1963_film)&action=edit&section=7,"""Editing The Prize (1963 film) (section) - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,https://en.wikipedia.org/wiki/Ivan_Triesault,"""Ivan Triesault - Wikipedia"""
https://en.wikipedia.org/wiki/Help:Introduction_to_editing_with_Wiki_Markup/6,https://en.wikipedia.org/wiki/Sergio_Fantoni,"""Sergio Fantoni - Wikipedia"""
