Crash_Date,Count,DayOfWeek,Holiday,Weather,Avg2days
1/1/2016,38,4,1,0,37
1/2/2016,22,5,0,0,36
1/3/2016,22,6,0,0,30
1/4/2016,47,0,0,1,22
1/5/2016,63,1,0,1,34.5
1/6/2016,36,2,0,1,55
1/7/2016,32,3,0,1,49.5
1/8/2016,23,4,0,0,34
1/9/2016,22,5,0,0,27.5
1/10/2016,27,6,0,0,22.5
1/11/2016,33,0,0,0,24.5
1/12/2016,34,1,0,0,30
1/13/2016,32,2,0,0,33.5
1/14/2016,46,3,0,0,33
1/15/2016,36,4,0,0,39
1/16/2016,20,5,0,0,41
1/17/2016,16,6,0,0,28
1/18/2016,21,0,1,0,18
1/19/2016,41,1,0,1,18.5
1/20/2016,38,2,0,0,31
1/21/2016,30,3,0,0,39.5
1/22/2016,45,4,0,0,34
1/23/2016,26,5,0,0,37.5
1/24/2016,26,6,0,0,35.5
1/25/2016,34,0,0,0,26
1/26/2016,33,1,0,0,30
1/27/2016,35,2,0,0,33.5
1/28/2016,34,3,0,0,34
1/29/2016,33,4,0,0,34.5
1/30/2016,20,5,0,0,33.5
1/31/2016,39,6,0,1,26.5
2/1/2016,39,0,0,0,29.5
2/2/2016,36,1,0,0,39
2/3/2016,40,2,0,0,37.5
2/4/2016,32,3,0,0,38
2/5/2016,41,4,0,0,36
2/6/2016,41,5,0,0,36.5
2/7/2016,24,6,0,0,41
2/8/2016,49,0,0,0,32.5
2/9/2016,25,1,0,0,36.5
2/10/2016,37,2,0,0,37
2/11/2016,37,3,0,0,31
2/12/2016,48,4,0,0,37
2/13/2016,44,5,0,0,42.5
2/14/2016,33,6,0,0,46
2/15/2016,32,0,1,0,38.5
2/16/2016,36,1,0,0,32.5
2/17/2016,31,2,0,0,34
2/18/2016,31,3,0,0,33.5
2/19/2016,30,4,0,0,31
2/20/2016,45,5,0,0,30.5
2/21/2016,14,6,0,0,37.5
2/22/2016,33,0,0,0,29.5
2/23/2016,26,1,0,0,23.5
2/24/2016,39,2,0,0,29.5
2/25/2016,33,3,0,0,32.5
2/26/2016,36,4,0,0,36
2/27/2016,34,5,0,0,34.5
2/28/2016,24,6,0,0,35
2/29/2016,38,0,0,0,29
3/1/2016,40,1,0,0,31
3/2/2016,46,2,0,0,39
3/3/2016,40,3,0,0,43
3/4/2016,36,4,0,0,43
3/5/2016,29,5,0,0,38
3/6/2016,27,6,0,0,32.5
3/7/2016,39,0,0,0,28
3/8/2016,31,1,0,0,33
3/9/2016,35,2,0,0,35
3/10/2016,31,3,0,0,33
3/11/2016,39,4,0,1,33
3/12/2016,49,5,0,0,35
3/13/2016,27,6,0,0,44
3/14/2016,27,0,0,0,38
3/15/2016,43,1,0,0,27
3/16/2016,33,2,0,0,35
3/17/2016,45,3,0,0,38
3/18/2016,41,4,0,0,39
3/19/2016,36,5,0,0,43
3/20/2016,19,6,0,0,38.5
3/21/2016,26,0,0,0,27.5
3/22/2016,23,1,0,0,22.5
3/23/2016,35,2,0,0,24.5
3/24/2016,32,3,0,0,29
3/25/2016,27,4,0,0,33.5
3/26/2016,32,5,0,0,29.5
3/27/2016,29,6,0,0,29.5
3/28/2016,28,0,0,0,30.5
3/29/2016,41,1,0,0,28.5
3/30/2016,29,2,0,0,34.5
3/31/2016,39,3,0,0,35
4/1/2016,44,4,0,0,34
4/2/2016,39,5,0,0,41.5
4/3/2016,36,6,0,0,41.5
4/4/2016,35,0,0,0,37.5
4/5/2016,38,1,0,0,35.5
4/6/2016,32,2,0,0,36.5
4/7/2016,37,3,0,0,35
4/8/2016,53,4,0,1,34.5
4/9/2016,63,5,0,1,45
4/10/2016,26,6,0,1,58
4/11/2016,32,0,0,1,44.5
4/12/2016,32,1,0,0,29
4/13/2016,29,2,0,0,32
4/14/2016,34,3,0,0,30.5
4/15/2016,32,4,0,0,31.5
4/16/2016,41,5,0,0,33
4/17/2016,29,6,0,0,36.5
4/18/2016,32,0,0,0,35
4/19/2016,39,1,0,0,30.5
4/20/2016,28,2,0,0,35.5
4/21/2016,42,3,0,0,33.5
4/22/2016,36,4,0,0,35
4/23/2016,22,5,0,0,39
4/24/2016,44,6,0,0,29
4/25/2016,23,0,0,1,33
4/26/2016,35,1,0,0,33.5
4/27/2016,47,2,0,0,29
4/28/2016,38,3,0,1,41
4/29/2016,30,4,0,0,42.5
4/30/2016,54,5,0,1,34
5/1/2016,23,6,0,0,42
5/2/2016,30,0,0,0,38.5
5/3/2016,34,1,0,0,26.5
5/4/2016,53,2,0,0,32
5/5/2016,37,3,0,0,43.5
5/6/2016,53,4,0,1,45
5/7/2016,34,5,0,1,45
5/8/2016,18,6,0,1,43.5
5/9/2016,38,0,0,0,26
5/10/2016,37,1,0,0,28
5/11/2016,40,2,0,0,37.5
5/12/2016,33,3,0,0,38.5
5/13/2016,42,4,0,0,36.5
5/14/2016,39,5,0,0,37.5
5/15/2016,30,6,0,0,40.5
5/16/2016,29,0,0,0,34.5
5/17/2016,29,1,0,1,29.5
5/18/2016,45,2,0,0,29
5/19/2016,37,3,0,0,37
5/20/2016,43,4,0,0,41
5/21/2016,31,5,0,0,40
5/22/2016,31,6,0,0,37
5/23/2016,46,0,0,0,31
5/24/2016,32,1,0,0,38.5
5/25/2016,40,2,0,0,39
5/26/2016,39,3,0,0,36
5/27/2016,36,4,0,0,39.5
5/28/2016,33,5,0,0,37.5
5/29/2016,23,6,0,0,34.5
5/30/2016,24,0,1,0,28
5/31/2016,32,1,0,0,23.5
6/1/2016,48,2,0,0,28
6/2/2016,33,3,0,0,40
6/3/2016,46,4,0,0,40.5
6/4/2016,30,5,0,0,39.5
6/5/2016,23,6,0,0,38
6/6/2016,27,0,0,0,26.5
6/7/2016,28,1,0,0,25
6/8/2016,36,2,0,0,27.5
6/9/2016,41,3,0,0,32
6/10/2016,37,4,0,0,38.5
6/11/2016,35,5,0,0,39
6/12/2016,33,6,0,0,36
6/13/2016,41,0,0,0,34
6/14/2016,31,1,0,0,37
6/15/2016,30,2,0,0,36
6/16/2016,43,3,0,0,30.5
6/17/2016,41,4,0,0,36.5
6/18/2016,33,5,0,0,42
6/19/2016,34,6,0,0,37
6/20/2016,40,0,0,0,33.5
6/21/2016,32,1,0,0,37
6/22/2016,23,2,0,0,36
6/23/2016,34,3,0,0,27.5
6/24/2016,32,4,0,0,28.5
6/25/2016,32,5,0,0,33
6/26/2016,28,6,0,0,32
6/27/2016,37,0,0,0,30
6/28/2016,31,1,0,1,32.5
6/29/2016,24,2,0,0,34
6/30/2016,30,3,0,1,27.5
7/1/2016,56,4,0,0,27
7/2/2016,35,5,0,0,43
7/3/2016,31,6,0,0,45.5
7/4/2016,18,0,1,0,33
7/5/2016,33,1,0,0,24.5
7/6/2016,30,2,0,0,25.5
7/7/2016,32,3,0,0,31.5
7/8/2016,32,4,0,0,31
7/9/2016,28,5,0,0,32
7/10/2016,20,6,0,0,30
7/11/2016,23,0,0,0,24
7/12/2016,34,1,0,0,21.5
7/13/2016,23,2,0,0,28.5
7/14/2016,40,3,0,0,28.5
7/15/2016,52,4,0,0,31.5
7/16/2016,34,5,0,0,46
7/17/2016,26,6,0,0,43
7/18/2016,32,0,0,0,30
7/19/2016,34,1,0,0,29
7/20/2016,29,2,0,0,33
7/21/2016,30,3,0,0,31.5
7/22/2016,35,4,0,0,29.5
7/23/2016,35,5,0,0,32.5
7/24/2016,19,6,0,0,35
7/25/2016,32,0,0,0,27
7/26/2016,26,1,0,0,25.5
7/27/2016,28,2,0,0,29
7/28/2016,27,3,0,0,27
7/29/2016,27,4,0,1,27.5
7/30/2016,26,5,0,1,27
7/31/2016,27,6,0,0,26.5
8/1/2016,22,0,0,0,26.5
8/2/2016,26,1,0,0,24.5
8/3/2016,29,2,0,0,24
8/4/2016,36,3,0,1,27.5
8/5/2016,38,4,0,0,32.5
8/6/2016,43,5,0,0,37
8/7/2016,20,6,0,0,40.5
